Rented Bike Count,Hour,Temperature,Humidity(%),Wind speed (m/s),Visibility (10m),Dew point temperature(°C),Solar Radiation (MJ/m2),Rainfall(mm),Snowfall (cm),year,month,day,dayofweek,quarter,week_of_year,hour_sin,hour_cos,dow_sin,dow_cos,month_sin,month_cos,Is_Holiday,Is_Functioning_Day,Season_Autumn,Season_Spring,Season_Summer,Season_Winter,Temp_Humidity,Temp_WindSpeed,Humidity_Wind,Comfort_Index,Is_Weekend,Is_Rush_Hour,Is_Night,Is_NonWorking_Day,Hour_Temperature,Hour_Humidity,Hour_Visibility,Winter_Temperature,Spring_Temperature,Summer_Temperature,Autumn_Temperature,Bad_Weather,Extreme_Temp
254,0,-5.2,37,2.2,2000,-17.6,0.0,0.0,0.0,2017,12,1,4,4,48,0.0,1.0,-0.433883739117558,-0.9009688679024191,-2.4492935982947064e-16,1.0,0,1,False,False,False,True,-192.4,-11.440000000000001,81.4,17.859999999999996,0,0,1,0,-0.0,0,0,-5.2,-0.0,-0.0,-0.0,0,1
204,1,-5.5,38,0.8,2000,-17.6,0.0,0.0,0.0,2017,12,1,4,4,48,0.25881904510252074,0.9659258262890683,-0.433883739117558,-0.9009688679024191,-2.4492935982947064e-16,1.0,0,1,False,False,False,True,-209.0,-4.4,30.400000000000002,17.689999999999998,0,0,1,0,-5.5,38,2000,-5.5,-0.0,-0.0,-0.0,0,1
173,2,-6.0,39,1.0,2000,-17.7,0.0,0.0,0.0,2017,12,1,4,4,48,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,-2.4492935982947064e-16,1.0,0,1,False,False,False,True,-234.0,-6.0,39.0,17.1,0,0,1,0,-12.0,78,4000,-6.0,-0.0,-0.0,-0.0,0,1
107,3,-6.2,40,0.9,2000,-17.6,0.0,0.0,0.0,2017,12,1,4,4,48,0.7071067811865475,0.7071067811865476,-0.433883739117558,-0.9009688679024191,-2.4492935982947064e-16,1.0,0,1,False,False,False,True,-248.0,-5.58,36.0,16.72,0,0,1,0,-18.6,120,6000,-6.2,-0.0,-0.0,-0.0,0,1
78,4,-6.0,36,2.3,2000,-18.6,0.0,0.0,0.0,2017,12,1,4,4,48,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,-2.4492935982947064e-16,1.0,0,1,False,False,False,True,-216.0,-13.799999999999999,82.8,17.74,0,0,1,0,-24.0,144,8000,-6.0,-0.0,-0.0,-0.0,0,1
100,5,-6.4,37,1.5,2000,-18.7,0.0,0.0,0.0,2017,12,1,4,4,48,0.9659258262890683,0.25881904510252074,-0.433883739117558,-0.9009688679024191,-2.4492935982947064e-16,1.0,0,1,False,False,False,True,-236.8,-9.600000000000001,55.5,17.4,0,0,1,0,-32.0,185,10000,-6.4,-0.0,-0.0,-0.0,0,1
181,6,-6.6,35,1.3,2000,-19.5,0.0,0.0,0.0,2017,12,1,4,4,48,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,-2.4492935982947064e-16,1.0,0,1,False,False,False,True,-231.0,-8.58,45.5,17.939999999999998,0,0,0,0,-39.599999999999994,210,12000,-6.6,-0.0,-0.0,-0.0,0,1
460,7,-7.4,38,0.9,2000,-19.3,0.0,0.0,0.0,2017,12,1,4,4,48,0.9659258262890683,-0.25881904510252063,-0.433883739117558,-0.9009688679024191,-2.4492935982947064e-16,1.0,0,1,False,False,False,True,-281.2,-6.66,34.2,16.72,0,1,0,0,-51.800000000000004,266,14000,-7.4,-0.0,-0.0,-0.0,0,1
930,8,-7.6,37,1.1,2000,-19.8,0.01,0.0,0.0,2017,12,1,4,4,48,0.8660254037844387,-0.49999999999999983,-0.433883739117558,-0.9009688679024191,-2.4492935982947064e-16,1.0,0,1,False,False,False,True,-281.2,-8.36,40.7,16.88,0,1,0,0,-60.8,296,16000,-7.6,-0.0,-0.0,-0.0,0,1
490,9,-6.5,27,0.5,1928,-22.4,0.23,0.0,0.0,2017,12,1,4,4,48,0.7071067811865476,-0.7071067811865475,-0.433883739117558,-0.9009688679024191,-2.4492935982947064e-16,1.0,0,1,False,False,False,True,-175.5,-3.25,13.5,20.549999999999997,0,0,0,0,-58.5,243,17352,-6.5,-0.0,-0.0,-0.0,0,1
